VC,HQ,Investment Region,Focus areas,Stage,Ticket size,Website,Portfolio examples in the Baltics,Investment Tendency
Superangel ,"Tallinn,Stockholm","Baltics,Nordics,Global","AI,Software,Fintech,Mobility,Robotics,Logistics,B2B,Deeptech,SaaS","Pre-Seed,Seed",300-1M€,https://www.superangel.io,"Bolt, Starship, Veriff, Montonio, Salv","B2B,B2C"
Specialist VC,Tallinn,"Baltics,Finland,Ukraine","Marketplace,Saas,AI,Software,Deeptech,Fintech,Enabled Hardware,Platforms,Mobility","Pre-Seed,Seed,Series A,Secondaries",<3M€,https://specialist.vc,"Bolt, Veriff, Comodule, Starship, Lightcode Photonics",B2B
Lemonade Stand,Tallinn,"Baltics,Eastern Europe","Agnostic,AI,Software,Deeptech,SpaceTech,Defense,Cleantech","Pre-Seed,Seed",50k-300k€,https://lemonadestand.ee,"Planet42, Montonio, Woola, Veriff, Interactio",B2B
Tera VC,Tallinn,"Baltics,Denmark,Sweden,Finland,Czech Republic ,Poland","Agnostic,AI,ML,Automation,Fintech","Pre-Seed,Seed,Series A",200k-1.5M€,https://www.tera.vc/#content,"Montonio, Monese, Lingvist, Scoro","B2B,B2C"
Change Ventures,Tallinn,"Baltics,Baltic diaspora","Agnostic,Tech","Pre-Seed,Seed",100k-500k €,https://www.changeventures.com/#team,"MeetFrank, Printify, Veriff, Nordigen","B2B,B2C"
Karma VC,Tallinn,"Baltics,Nordics,Europe","Deeptech,Software,Tech","Seed,Series A",<5M€,https://www.karma.vc,"Plumbr, Xolo, MeetFrank, Tuum","B2B,B2C"
Trind VC,Tallinn,Europe,"Agnostic,Enterprise Software,Marketplace","Pre-Seed,Seed",100k-1M€,https://trind.vc,"Ready Player Me, Yaga, Sonarworks","B2B,B2C"
Honey Badger (Not a fund),Tallinn,"CEE,Baltics,Global","AI,Impact,Cleantech,Saas,Defense","Pre-Seed,Seed",50k-150k€,https://badger.ee,"Patchstack, Paul-Tech, Grünfin Vok Bikes","B2B,Mostly Defence"
Plural Platform,"Tallinn,London",Europe,"Health,Education,Governance,AI,Frontier tech,Climate","Seed,Series A",<5M€+,https://pluralplatform.com,"Ready Player Me, Certific","B2B,B2C"
Sten+Taavet (not a fund),Tallinn,Europe,"Fintech,Climate,Education,Crypto,DeFi,Health,Work,Social,Web3","Pre-Seed,Seed,Growth",250k-1M€,https://taavetsten.com/,"Koos, Arbonics, NFTPort",Invests with Plural Platform
Startup Wise Guys,Tallinn,"Baltics,Italy,Denmark,Africa,Global","Fintech,Cyber,Saas,Sustainability,Web3,Proptech","Accelerator,Pre-Seed,Seed",30k-250k€,https://startupwiseguys.com,"Fractory, Planet42, Comodule, EstateGuru, VOCHI, .kevin, Ondato, Wolf 3D","B2B,B2C"
Spring Capital,Tallinn,"Baltics,Nordics,CEE",Agnostic,"Seed,Growth",75k-700k€,https://springcapital.ee,"Bolt, Monese, Ready Player Me","B2B,B2C"
